SPNAMES_jetz;SPNAMES_merge_jetz-birdlife;SPNAMES_birdlife;SPENG_jetz;SPENG_birdlife;Order;MIG_strategy;DIST_QUALI;DIST_QUANTI_MIGONLY;DIST_QUANTI_ALLSP;LENGTH_BREEDINGA;BodyMass;Diet.Inv;Diet.Vend;Diet.Vect;Diet.Vfish;Diet.Vunk;Diet.Scav;Diet.Fruit;Diet.Nect;Diet.Seed;Diet.PlantO;Diet.5Cat;Diet_breadth;ForStrat.watbelowsurf;ForStrat.wataroundsurf;ForStrat.ground;ForStrat.understory;ForStrat.midhigh;ForStrat.canopy;ForStrat.aerial;For_breadth
Larus_atlanticus;Larus_atlanticus;Larus_atlanticus;Olrogs-Gull;Olrogs-Gull;CHARADRIIFORMES;2_partial_migrant;2_short;252.550408958186;252.550408958186;338;842.37;80;0;0;10;0;10;0;0;0;0;Invertebrate;3;0;100;0;0;0;0;0;1
Larus_atricilla;Larus_atricilla;Larus_atricilla;Laughing-Gull;Laughing-Gull;CHARADRIIFORMES;2_partial_migrant;3_variable;2204.27180903277;2204.27180903277;7208;307.41;40;0;0;40;0;20;0;0;0;0;VertFishScav;3;0;50;40;10;0;0;0;3
Larus_audouinii;Larus_audouinii;Larus_audouinii;Audouins-Gull;Audouins-Gull;CHARADRIIFORMES;3_strict_migrant;3_variable;464.547590674866;464.547590674866;301;534.99;30;0;0;70;0;0;0;0;0;0;VertFishScav;2;0;100;0;0;0;0;0;1
Larus_belcheri;Larus_belcheri;Larus_belcheri;Band-tailed-Gull;Belchers-Gull;CHARADRIIFORMES;2_partial_migrant;2_short;611.615343469902;611.615343469902;1264;638.61;30;20;0;30;0;20;0;0;0;0;VertFishScav;4;0;50;50;0;0;0;0;2
Larus_brunnicephalus;Larus_brunnicephalus;Larus_brunnicephalus;Brown-headed-Gull;Brown-headed-Gull;CHARADRIIFORMES;3_strict_migrant;3_variable;1373.54257751337;1373.54257751337;2535;569.29;30;10;0;40;0;10;0;0;0;10;VertFishScav;5;0;50;50;0;0;0;0;2
Larus_bulleri;Larus_bulleri;Larus_bulleri;Black-billed-Gull;Black-billed-Gull;CHARADRIIFORMES;3_strict_migrant;2_short;140.768495115471;140.768495115471;181;230.16;50;0;0;40;0;10;0;0;0;0;Omnivore;3;0;40;60;0;0;0;0;2
Larus_cachinnans;Larus_cachinnans;Larus_cachinnans;Caspian-Gull;Caspian-Gull;CHARADRIIFORMES;2_partial_migrant;3_variable;1410.6779351784;1410.6779351784;7924;1111.89;30;20;0;40;0;10;0;0;0;0;VertFishScav;4;40;30;30;0;0;0;0;3
Larus_californicus;Larus_californicus;Larus_californicus;California-Gull;California-Gull;CHARADRIIFORMES;3_strict_migrant;3_variable;1630.41139532168;1630.41139532168;10047;683.39;20;20;0;0;0;20;20;0;20;0;Omnivore;5;0;20;80;0;0;0;0;2
Larus_canus;Larus_canus;Larus_canus;Mew-Gull;Mew-Gull;CHARADRIIFORMES;3_strict_migrant;3_variable;1707.78086486631;1707.78086486631;106756;412.53;40;0;0;40;0;10;0;0;0;10;Omnivore;4;20;40;40;0;0;0;0;3
Larus_cirrocephalus;Larus_cirrocephalus;Larus_cirrocephalus;Grey-headed-Gull;Grey-headed-Gull;CHARADRIIFORMES;2_partial_migrant;3_variable;1598.28234312833;1598.28234312833;22225;374.69;40;0;0;40;0;20;0;0;0;0;VertFishScav;3;20;40;40;0;0;0;0;3
Larus_crassirostris;Larus_crassirostris;Larus_crassirostris;Black-tailed-Gull;Black-tailed-Gull;CHARADRIIFORMES;2_partial_migrant;2_short;604.367937472529;604.367937472529;1550;561;30;0;0;40;0;30;0;0;0;0;VertFishScav;3;0;100;0;0;0;0;0;1
Larus_delawarensis;Larus_delawarensis;Larus_delawarensis;Ring-billed-Gull;Ring-billed-Gull;CHARADRIIFORMES;3_strict_migrant;3_variable;1846.9206729866;1846.9206729866;25356;516.31;30;10;0;30;0;20;0;0;10;0;VertFishScav;5;20;10;70;0;0;0;0;3
Larus_dominicanus;Larus_dominicanus;Larus_dominicanus;Kelp-Gull;Kelp-Gull;CHARADRIIFORMES;1_resident;1_resident;0;1080.69310090887;15867;952.43;20;20;20;20;0;20;0;0;0;0;VertFishScav;5;0;50;50;0;0;0;0;2
Larus_fuliginosus;Larus_fuliginosus;Larus_fuliginosus;Lava-Gull;Lava-Gull;CHARADRIIFORMES;1_resident;1_resident;0;41.2641702101335;60;380;20;20;20;20;0;20;0;0;0;0;VertFishScav;5;0;50;50;0;0;0;0;2
Larus_fuscus;Larus_fuscus;Larus_fuscus;Lesser-Black-backed-Gull;Lesser-Black-backed-Gull;CHARADRIIFORMES;3_strict_migrant;4_long;3809.4755135814;3809.4755135814;32022;762.36;30;20;0;30;0;10;10;0;0;0;VertFishScav;5;40;30;30;0;0;0;0;3
Larus_genei;Larus_genei;Larus_genei;Slender-billed-Gull;Slender-billed-Gull;CHARADRIIFORMES;2_partial_migrant;2_short;1850.69702348864;1850.69702348864;8239;281;40;0;0;40;0;0;0;0;0;20;Omnivore;3;20;50;20;10;0;0;0;4
Larus_glaucescens;Larus_glaucescens;Larus_glaucescens;Glaucous-winged-Gull;Glaucous-winged-Gull;CHARADRIIFORMES;2_partial_migrant;3_variable;734.047197989954;734.047197989954;6940;1056.54;30;20;0;30;0;20;0;0;0;0;VertFishScav;4;30;40;30;0;0;0;0;3
Larus_glaucoides;Larus_glaucoides;Larus_glaucoides;Iceland-Gull;Iceland-Gull;CHARADRIIFORMES;3_strict_migrant;4_long;2341.95214481018;2341.95214481018;16735;693.31;20;20;0;50;0;0;0;0;10;0;VertFishScav;4;20;50;30;0;0;0;0;3
Larus_hartlaubii;Larus_hartlaubii;Larus_hartlaubii;King-Gull;Hartlaubs-Gull;CHARADRIIFORMES;1_resident;1_resident;0;115.697819948901;366;292;30;0;0;40;0;30;0;0;0;0;VertFishScav;3;30;30;30;10;0;0;0;4
Larus_heermanni;Larus_heermanni;Larus_heermanni;Heermanns-Gull;Heermanns-Gull;CHARADRIIFORMES;2_partial_migrant;2_short;384.147701449095;384.147701449095;3127;499.99;40;0;30;30;0;0;0;0;0;0;VertFishScav;3;30;50;20;0;0;0;0;3
Larus_hemprichii;Larus_hemprichii;Larus_hemprichii;Sooty-Gull;Sooty-Gull;CHARADRIIFORMES;2_partial_migrant;2_short;656.737491170694;656.737491170694;927;451.66;0;20;0;40;0;40;0;0;0;0;VertFishScav;3;20;60;20;0;0;0;0;3
Larus_hyperboreus;Larus_hyperboreus;Larus_hyperboreus;Glaucous-Gull;Glaucous-Gull;CHARADRIIFORMES;3_strict_migrant;4_long;1980.60805290696;1980.60805290696;28271;1529.04;20;20;0;30;0;20;10;0;0;0;VertFishScav;5;0;50;50;0;0;0;0;2
Larus_ichthyaetus;Larus_ichthyaetus;Larus_ichthyaetus;Pallass-Gull;Pallass-Gull;CHARADRIIFORMES;3_strict_migrant;3_variable;2440.30854403644;2440.30854403644;3807;1378.84;20;30;10;30;0;0;0;0;10;0;VertFishScav;5;10;50;40;0;0;0;0;3
Larus_leucophthalmus;Larus_leucophthalmus;Larus_leucophthalmus;White-eyed-Gull;White-eyed-Gull;CHARADRIIFORMES;3_strict_migrant;2_short;276.93986867112;276.93986867112;34;328.89;30;0;0;60;0;0;10;0;0;0;VertFishScav;3;0;100;0;0;0;0;0;1
Larus_livens;Larus_livens;Larus_livens;Yellow-footed-Gull;Yellow-footed-Gull;CHARADRIIFORMES;2_partial_migrant;2_short;179.190041242765;179.190041242765;320;1322;20;20;0;30;0;30;0;0;0;0;VertFishScav;4;0;50;50;0;0;0;0;2
Larus_maculipennis;Larus_maculipennis;Larus_maculipennis;Brown-hooded-Gull;Brown-hooded-Gull;CHARADRIIFORMES;2_partial_migrant;2_short;1383.47039459239;1383.47039459239;9371;339;80;0;0;10;0;10;0;0;0;0;Invertebrate;3;0;20;60;20;0;0;0;3
Larus_marinus;Larus_marinus;Larus_marinus;Great-Black-backed-Gull;Great-Black-backed-Gull;CHARADRIIFORMES;2_partial_migrant;3_variable;682.195125442616;682.195125442616;12178;1649.71;20;20;0;0;0;20;20;0;20;0;Omnivore;5;0;20;80;0;0;0;0;2
Larus_melanocephalus;Larus_melanocephalus;Larus_melanocephalus;Mediterranean-Gull;Mediterranean-Gull;CHARADRIIFORMES;2_partial_migrant;2_short;929.46633906004;929.46633906004;1706;256;40;20;0;30;0;10;0;0;0;0;VertFishScav;4;0;50;50;0;0;0;0;2
Larus_michahellis;Larus_michahellis;Larus_michahellis;Yellow-legged-Gull;Yellow-legged-Gull;CHARADRIIFORMES;2_partial_migrant;2_short;956.870296228897;956.870296228897;5292;1111.89;30;20;0;40;0;10;0;0;0;0;VertFishScav;4;40;30;30;0;0;0;0;3
